" The customer doesn't exist in the system anymore","הלקוח אינו קיים יותר במערכת"
"""%s"" coupon code is not valid.","קוד קופון ""%"" לא תקין."
"%s / %s rate:","%s / %s rate:"
"%s for %s","%s for %s"
"%s order(s) successfully canceled","%s order(s) successfully canceled"
"%s order(s) successfully put on hold","%s order(s) successfully put on hold"
"%s order(s) successfully released from holding status","%s order(s) successfully released from holding status"
"* - Enter custom price excluding tax","* - Enter custom price excluding tax"
"* - Enter custom price including tax","* - Enter custom price including tax"
"About This Order:","אודות הזמנה זו:"
"About Your Order","אודות הזמנתך"
"Account Information","מידע אודות חשבונך"
"Action","פעולה"
"Actions","פעולות"
"Add","הוסף"
"Add Gift Messsage","Add Gift Messsage"
"Add New Address","הוסף כתובת חדשה"
"Add Order Comments","הוסף הערות להזמנה"
"Add Products","הוסף מוצרים"
"Add Selected Product(s) to Option","הוסף מוצר(ים) נבחרים לאופציה"
"Add Selected Product(s) to Order","הוסף מוצר(ים) נבחר(ים) להזמנה"
"Add To Order","הוסף להזמנה"
"Add Tracking Number","הוסף מספר מעקב"
"Add a gift message for <strong>each gift item</strong>","הוסף ברכה <strong>לכל מתנה</strong>"
"Add a gift message for the <strong>entire order</strong>","הוסף ברכה <strong>להזמנה</strong>"
"Add comment to order","הזמנה - הוסף הערה"
"Add new comment to shipment","משלוח - הוסף הערה"
"Add new tracking number","הוסף מספר מעקב"
"Add to Cart","הוסף לסל"
"Address","כתובת"
"Adjustment Fee","עמלת התאמה"
"Adjustment Fee:","עמלת התאמה:"
"Adjustment Refund","החזר התאמה"
"Adjustment Refund:","החזר התאמה:"
"Allow Reorder","אפשר הזמנה מחדש"
"Amount","כמות"
"And Above","ומעלה"
"Append Comments","הוסף הערות"
"Apply","הפעל/אשר"
"Apply Coupon Code","הפעל קוד קופון"
"Are you sure you want to cancel this order?","האם לבטל את ההזמנה?"
"Are you sure?","האם אתה בטוח?"
"Are you sure? This order will be cancelled and a new one will be created instead","האם אתה בטוח? ההזמנה הזו תבוטל והזמנה חדשה תיוצר במקומה"
"Back to My Orders","חזור להזמנות שלי"
"Backordered","הוזמן כהזמנת חוסר מלאי"
"Bill to First name","שלח חיוב לשם פרטי"
"Bill to Last name","שלח חיוב לשם משפחה"
"Bill to Name","שלח חיוב לשם"
"Billing Address","כתובת לחיוב"
"Buy %s for price %s","קנה %s במחיר %s"
"Can not add order history.","Can not add order history."
"Can not create block ""%s""","לא יכול ליצור בלוק ""%s"""
"Can not do invoice for order.","Can not do invoice for order."
"Can not do shipment for order.","לא יכול לעשות שילוח להזמנה."
"Can not register existing creditmemo","לא ניתן לרשום זכות קיימת"
"Can not register existing invoice","לא יכול לרשום חשבונית קיימת"
"Can not register existing shipment","לא יכול לרשום שילוח קיים"
"Can't get order instance","Can't get order instance"
"Cancel","בטל"
"Cancel invoice","בטל חשבונית"
"Cancel order","בטל הזמנה"
"Canceled","בוטל"
"Cannot create an empty shipment.","לא יכול ליצור משלוח ריק."
"Capture","לכידה"
"Capture Amount","כמות לכידה"
"Capture Offline","Capture Offline"
"Capture Online","Capture Online"
"Capture invoice","Capture invoice"
"Carrier","משלח"
"Change Status","שנה סטטוס"
"Change status, add comments","שנה סטטוס, הוסף הערות"
"Checkout totals sort order","מיון חישובי הסה""כ בצ'ק אאוט"
"Click to change shipping method","לחץ כדי לשנות שיטת שילוח"
"Closed","סגור"
"Comment","הערה"
"Comment Text","טקסט הערה"
"Comments","הערות"
"Comments History","היסטוריית הערות"
"Complete","הושלם"
"Country","ארץ"
"Coupons","קופונים"
"Create","צור"
"Create New Customer","צור לקוח חדש"
"Create New Order","צור הזמנה חדשה"
"Create New Order for %s","צור הזמנה חדשה עבור %s"
"Create New Order for %s in %s","צור הזמנה חדשה עבור %s ב %s"
"Create New Order for New Customer","צור הזמנה חדשה עבור לקוח חדש"
"Create New Order for New Customer in %s","צור הזמנה חדשה ללקוח חדש ב %s"
"Create Shipment","צור שילוח"
"Create new invoice for order","צור חשבונית חדשה להזמנה"
"Create new shipment for order","צור שילוח חדש להזמנה"
"Created At","נוצר ב-"
"Credit Memo","זכות"
"Credit Memo #","זכות #"
"Credit Memo # ","זכות #"
"Credit Memo Comment Email Sender","הערה על זכות - אימייל השולח"
"Credit Memo Comment Email Template","הערה על זכות - תבנית אימייל"
"Credit Memo Comment Email Template for Guest","החזרים - תבנית אימייל - הערות לאורחים"
"Credit Memo Comments","הערות על זכות"
"Credit Memo Email Sender","זכות - אימייל השולח"
"Credit Memo Email Template","זכות - תבנית אימייל"
"Credit Memo Email Template for Guest","החזרים - תבנית אימייל לאורחים"
"Credit Memo Update","החזרים - עדכון"
"Credit Memo Update for Guest","החזרים - עדכון לאורחים"
"Credit Memo email not sent","זכות - אימייל לא נשלח"
"Credit Memo email sent","זכות - אימייל נשלח"
"Credit Memos","החזרים"
"Creditmemo","החזר"
"Custom Options","Custom Options"
"Custom Price","מחיר מותאם"
"Custom Value","ערך המכס"
"Customer","לקוח"
"Customer Group","קבוצת לקוח"
"Customer Name","שם לקוח"
"Customer's Current Activities","לקוח - פעולות נוכחיות"
"Date","תאריך"
"Date Shipped","תאריך שילוח"
"Date of Birth","Date of Birth"
"Default logo, will be used in PDF and HTML documents.<br />(jpeg, tiff, png)","לוגו ברירת מחדל למסמכי PDF ו- HTML.<br />(jpeg, tiff, png)"
"Delete","מחק/מחיקה"
"Description message","Description message"
"Discount","הנחה"
"Discount ","הנחה"
"Discount (%s)","הנחה (%s)"
"Discount :","הנחה :"
"Discount Amount","גובה/כמות הנחה"
"Discount%s","Discount%s"
"Display Order ID in Header","הצג קוד הזמנה בכותרת עליונה"
"Document","מסמך"
"Edit","ערוך"
"Edit Gift Messsage","Edit Gift Messsage"
"Edit Order #%s","ערוך הזמנה #%s"
"Email","מייל"
"Email Copy of Credit Memo","שלח העתק זכות במייל"
"Email Copy of Invoice","שלח העתק חשבונית (אימייל)"
"Email Copy of Shipment","שלח העתק שילוח (אימייל)"
"Email Order Confirmation","שלח אישור הזמנה (אימייל)"
"Enable","אפשר"
"Enabled","פעיל"
"Error to show in shopping cart","Error to show in shopping cart"
"Excl. Tax","לא כולל מס"
"From","מ"
"From Name","משם"
"From:","מ:"
"G.T. (Base)","G.T. (Base)"
"G.T. (Purchased)","G.T. (Purchased)"
"Get shipping methods and rates","קבל סוג שילוח ותעריפים"
"Gift","מתנה"
"Gift Certificate","שובר מתנה"
"Gift Message","ברכה"
"Gift Message for Entire Order","ברכה לכל ההזמנה"
"Gift Message for this Order","ברכה להזמנה זו"
"Grand Total","סה""כ:"
"Grand Total to be charged","סה""כ לחיוב"
"Grand Total:","סה""כ:"
"Guest","אורח"
"Hold","החזק/עצור/השהה"
"Hold action is not available","פעולת ההשהייה/עצירה לא זמינה"
"Hold order","השהה הזמנה"
"ID","קוד/ת.ז/זיהוי"
"If empty, the default description above will be used","If empty, the default description above will be used"
"If empty, the default error above will be used","If empty, the default error above will be used"
"Incl. Tax","כולל מס"
"Information","מידע"
"Invalid carrier specified.","Invalid carrier specified."
"Invalid item option format","Invalid item option format"
"Invalid qty to invoice item ""%s""","Invalid qty to invoice item ""%s"""
"Invalid qty to refund item ""%s""","Invalid qty to refund item ""%s"""
"Invalid qty to ship for item ""%s""","Invalid qty to ship for item ""%s"""
"Invalid renderer model","Invalid renderer model"
"Invalid request for adding product to quote","Invalid request for adding product to quote"
"Invoice","חשבונית"
"Invoice #","# חשבונית"
"Invoice # ","# חשבונית"
"Invoice #%s","# חשבונית %s"
"Invoice Comment Email Sender","הערת חשבונית לאימייל שולח"
"Invoice Comment Email Template","הערת חשבונית לתבנית אימייל"
"Invoice Comment Email Template for Guest","Invoice Comment Email Template for Guest"
"Invoice Comments","חשבונית - הערות"
"Invoice Date","תאריך חשבונית: %s"
"Invoice Email Sender","חשבונית - אימייל השולח"
"Invoice Email Template","חשבונית - תבנית אימייל"
"Invoice Email Template for Guest","Invoice Email Template for Guest"
"Invoice Update","עדכון חשבונית"
"Invoice Update for Guest","עדכון חשבונית אורח"
"Invoice and Packing Slip Design","עיצוב חשבונית ורשימת מארז"
"Invoice can not be canceled","Invoice can not be canceled"
"Invoice can not be captured","Invoice can not be captured"
"Invoice can not be void","Invoice can not be void"
"Invoice cancel problem","Invoice cancel problem"
"Invoice capture problem","Invoice capture problem"
"Invoice email not sent","חשבונית - אימייל לא נשלח"
"Invoice email sent","חשבונית - אימייל נשלח"
"Invoice void problem","בעיית חשבונית ריקה"
"Invoiced","נרשם בחשבונית"
"Invoices","חשבוניות"
"Item","פריט"
"Item Status","סטטוס פריט"
"Item object is not specified.","Item object is not specified."
"Item option with code %s already exist","Item option with code %s already exist"
"Item options declare error","Item options declare error"
"Item ordered qty","פריט - כמות מוזמנת"
"Item qty declare error","Item qty declare error"
"Items Invoiced","פריטים בחשבונית"
"Items Ordered","פריטים שהוזמנו"
"Items Refunded","פריטים שהוחזרו"
"Items Shipped","פריטים שנשלחו"
"Items options declare error.","Items options declare error."
"Items to Invoice","פריטים לחשבונית"
"Items to Refund","פריטים להחזר"
"Items to Ship","פריטים לשילוח"
"Last ordered items","פריטים אחרונים שהוזמנו"
"Link to the new order","קשר להזמנה חדשה"
"Link to the previous order","קשר להזמנה קודמת"
"Logo for HTML documents only. If empty, default will be used.<br />(jpeg, gif, png)","Logo for HTML documents only. If empty, default will be used.<br />(jpeg, gif, png)"
"Logo for HTML print view","Logo for HTML print view"
"Logo for PDF print-outs (200x50)","Logo for PDF print-outs (200x50)"
"Message","הודעה"
"Message:","הודעה:"
"Minimum amount","Minimum amount"
"Minimum order amount","Minimum order amount"
"Mixed","משולב/מעורבב"
"Move to Shopping Cart","Move to Shopping Cart"
"Move to Wishlist","עבור לרשימת החלומות"
"Multi-address description message","Multi-address description message"
"Multi-address error to show in shopping cart","Multi-address error to show in shopping cart"
"My Orders","ההזמנות שלי"
"My Orders - Details","הזמנות שלי - פרטים"
"Name","שם"
"New","New"
"New Credit Memo","New Credit Memo"
"New Credit Memo for Guest","New Credit Memo for Guest"
"New Invoice","חשבונית חדשה"
"New Invoice for Guest","New Invoice for Guest"
"New Order","הזמנה חדשה"
"New Order Confirmation Email Sender","New Order Confirmation Email Sender"
"New Order Confirmation Template","New Order Confirmation Template"
"New Order Confirmation Template for Guest","New Order Confirmation Template for Guest"
"New Order RSS","New Order RSS"
"New Order for Guest","New Order for Guest"
"New Shipment","שילוח/משלוח חדש"
"New Shipment for Guest","New Shipment for Guest"
"New Status","סטטוס חדש"
"Newsletter Subscription","ניוזלטר - רישום"
"No Items","ללא פרטים"
"No Items To Refund","No Items To Refund"
"No Payment Methods","אין/ללא שיטות תשלום"
"No detail for number ""%s""","No detail for number ""%s"""
"No items","ללא פרטים"
"No ordered items","No ordered items"
"No shipping information available","No shipping information available"
"Not Capture","Not Capture"
"Not Notified","Not Notified"
"Notified","Notified"
"Notify Customer","התרע ללקוח"
"Number","מספר"
"On Hold","בהמתנה"
"Order","הזמנה"
"Order #","מס' הזמנה"
"Order # ","מס' הזמנה"
"Order # %s","הזמנה # %s"
"Order #%s","מס' הזמנה %s"
"Order #%s - %s","הזמנה מס' %s - <small><em>%s</em></small>"
"Order API","Order API"
"Order Comment","הערת הזמנה"
"Order Comment Email Sender","Order Comment Email Sender"
"Order Comment Email Template","Order Comment Email Template"
"Order Comment Email Template for Guest","Order Comment Email Template for Guest"
"Order Comments","הערות הזמנה"
"Order Credit Memos","הזמנה - החזרים"
"Order Currency:","מטבע הזמנה:"
"Order Date","תאריך הזמנה"
"Order Date (%s)","Order Date (%s)"
"Order Date: ","תאריך הזמנה:"
"Order Date: %s","תאריך הזמנה: %s"
"Order Details","פרטי ההזמנה"
"Order Grand Total","הזמנה - סה""כ"
"Order History","היסטוריית הזמנה"
"Order Information","הזמנה - מידע"
"Order Invoices","חשבוניות הזמנה"
"Order Shipments","הזמנה - משלוחים"
"Order Status","סטטוס הזמנה"
"Order Subtotal","סיכום ביניים"
"Order Subtotal:","סיכום ביניים"
"Order Total","סה"כ"
"Order Totals","סיכום הזמנה"
"Order Update","עידכון הזמנה"
"Order Update for Guest","Order Update for Guest"
"Order View","הזמנה"
"Order invoice","חשבון"
"Order object is not specified.","Order object is not specified."
"Order saving error: %s","שמירת הזמנה, שגיאה: %s"
"Order shipments","הזמנה - משלוחים"
"Order was not cancelled.","הזמנה לא בוטלה"
"Order was not put on hold.","ההזמנה לא הועברה למצב המתנה."
"Order was not unholded.","ההזמנה לא הוצאה ממצב המתנה"
"Order was placed using %s","ההזמנה בוצעה באמצעות %s"
"Order was successfully cancelled.","ההזמנה בוטלה בהצלחה."
"Order was successfully put on hold.","ההזמנה עברה למצב המתנה בהצלחה."
"Order was successfully released from holding status.","Order was successfully released from holding status."
"Ordered","הוזמן"
"Orders","הזמנות"
"Original Price","Original Price"
"PDF Credit Memos","צור PDF להחזרים"
"PDF Invoices","צור PDF לחשבוניות"
"PDF Packingslips","צור PDF לרשימת מארז"
"PDF Print-outs","PDF Print-outs"
"PDF object is not specified.","PDF object is not specified."
"PDF page object is not specified.","PDF page object is not specified."
"Packingslip # ","רשימת אריזה #"
"Paid","שולם"
"Paid Amount","כמות ששולמה"
"Partial","חלקי"
"Payment Failed","Payment Failed"
"Payment Information","מידע על תשלום"
"Payment Method","שיטת התשלום"
"Payment Method:","Payment Method:"
"Pending","בהמתנה"
"Pending PayPal","Pending PayPal"
"Pending Payment","תשלום בהמתנה"
"Placed from IP","Placed from IP"
"Please enter positive number in this field.","Please enter positive number in this field."
"Please select a customer","בחר לקוח"
"Please select a store","בחר חנות"
"Please select products to add","בחר מוצרים להוספה"
"Price","מחיר"
"Print","הדפס"
"Print All","הדפס הכל"
"Print All Invoices","הדפסת כל החשבוניות"
"Print All Refunds","הדפס את כל ההחזרים"
"Print All Shipments","הדפס את כל המשלוחים"
"Print Credit Memos","הדפס החזרים"
"Print Invoice","הדפסת הזמנה"
"Print Invoices","הדפס חשבוניות"
"Print Order","Print Order"
"Print Order # %s","Print Order # %s"
"Print Packingslips","הדפס רשימות מארז"
"Print Refund","הדפס החזר"
"Print Shipment","הדפס משלוח"
"Processing","מעבד"
"Processing data problem","בעיה בעיבוד הנתונים"
"Product","מוצר"
"Product Name","שם המוצר"
"Products","מוצרים"
"Products in Compare List","מוצרים ברשימת השוואה"
"Purchased From","נקנה מ"
"Purchased On","נקנה בתאריך/נקנה ב"
"Purchased from (store)","נקנה מ (חנות)"
"QTY","כמות"
"Qty","כמות"
"Qty Invoiced","כמות בחשבונית"
"Qty Ordered","כמות מוזמנת"
"Qty Shipped","כמות שמשלחה"
"Qty To Add","כמות להוספה"
"Qty to Invoice","כמות לחשבונית"
"Qty to Refund","Qty to Refund"
"Qty to Ship","Qty to Ship"
"Recent Orders","הזמנות אחרונות"
"Recently Compared Products","מוצרים שהושוו לאחרונה"
"Recently Viewed","נצפו לאחרונה"
"Recently Viewed Products","מוצרים שנצפו לאחרונה"
"Refresh","רענן"
"Refund","החזר כספי"
"Refund #","החזר #"
"Refund #%s","החזר #%s"
"Refund Amount","גובה החזר"
"Refund Offline","Refund Offline"
"Refund Shipping","Refund Shipping"
"Refund Totals","Refund Totals"
"Refunded","הוחזר"
"Refunds","החזרים"
"Remove","הסר"
"Remove Coupon Code","הסר קוד קופון"
"Remove tracking number","Remove tracking number"
"Reorder","סדר מחדש"
"Retrieve invoice info","Retrieve invoice info"
"Retrieve invoice information","Retrieve invoice information"
"Retrieve list of invoices by filters","Retrieve list of invoices by filters"
"Retrieve list of orders by filters","Retrieve list of orders by filters"
"Retrieve list of shipments by filters","Retrieve list of shipments by filters"
"Retrieve order information","Retrieve order information"
"Retrieve orders info","Retrieve orders info"
"Retrieve shipment info","Retrieve shipment info"
"Retrieve shipment information","Retrieve shipment information"
"Return to Stock","Return to Stock"
"Returned","הוחזר"
"Row Subtotal","Row Subtotal"
"Row Total","סה""כ שורה"
"SHIP TO:","שלח אל:"
"SKU","מק""ט"
"SOLD TO:","נמכר ל:"
"Sales","Sales"
"Sales Emails","Sales Emails"
"Sales Emails Section","Sales Emails Section"
"Sales Section","איזור - מכירות"
"Same As Billing Address","זהה לכתובת חיוב התשלום"
"Save and Close Message","Save and Close Message"
"Save in address book","שמור בספר הכתובות"
"Select from existing customer addresses:","בחר מכתובות לקוח קיימות:"
"Send Credit Memo Comment Email Copy To","Send Credit Memo Comment Email Copy To"
"Send Credit Memo Email Copy To","Send Credit Memo Email Copy To"
"Send Invoice Comment Email Copy To","שלח עותק הערות חשבונית באימייל ל"
"Send Invoice Email Copy To","שלח עותק חשבונית באימייל ל"
"Send Order Comment Email Copy To","שלח עותק רות הזמנה באימייל ל"
"Send Order Email Copy Method","Send Order Email Copy Method"
"Send Order Email Copy To","שלח עותק הזמנה באימייל ל"
"Send Shipment Comment Email Copy To","שלח עותק הערות שילוח באימייל ל"
"Send Shipment Email Copy To","שלח עותק שילוח באימייל ל"
"Send Tracking Information","שלח מידע מעקב הזמנה"
"Ship","שלח"
"Ship to","משלוח ל-"
"Ship to First name","שלח אל - שם פרטי"
"Ship to Last name","שלח אל - שם משפחה"
"Ship to Name","שלח אל - שם"
"Shipment","משלוח"
"Shipment #","משלוח #"
"Shipment #%s","משלוח #%s"
"Shipment Comment Email Sender","Shipment Comment Email Sender"
"Shipment Comment Email Template","Shipment Comment Email Template"
"Shipment Comment Email Template for Guest","Shipment Comment Email Template for Guest"
"Shipment Comments","הערות שילוח"
"Shipment Email Sender","משלוח - אימייל השולח"
"Shipment Email Template","משלוח - תבנית אימייל"
"Shipment Email Template for Guest","Shipment Email Template for Guest"
"Shipment Update","Shipment Update"
"Shipment Update for Guest","Shipment Update for Guest"
"Shipment email not sent","משלוח - הודעת דוא""ל לא נשלחה"
"Shipment email sent","משלוח - הודעת דוא""ל נשלחה"
"Shipments","משלוחים"
"Shipped","נשלח"
"Shipped By","נשלח ע""י"
"Shipping","משלוח"
"Shipping & Handling","משלוח"
"Shipping & Handling:","משלוח"
"Shipping &amp; Handling","שילוח;טיפול"
"Shipping &amp; Handling Information","מידע על שילוח;טיפול"
"Shipping Address","כתובת למשלוח"
"Shipping Amount","כמות למשלוח"
"Shipping Information","מידע על משלוח"
"Shipping Method","שיטת שילוח"
"Shipping Method:","שיטת שילוח:"
"Shipping Refund","שילוח - החזר"
"Shipping and Tracking Information","Shipping and Tracking Information"
"Shopping Cart","סל קניות"
"Signed Up From","טופס הרשמה"
"Sku","מק""ט"
"Some items have quantities exceeding allowed quantities. Please select a lower quantity to checkout.","לחלק מהפריטים יש כמויות שחורגות מהגבול. אנא הורד כמויות כדי להמשיך לקופה/תשלום."
"Some of the products below don't have all the required options. Please remove them and add again with all the required options.","Some of the products below don't have all the required options. Please remove them and add again with all the required options."
"Sorry, no quotes are available for this order at this time.","אנו מתנצלים. בשלב זה אין הצעות מחיר להזמנה זו."
"Source object is not specified.","Source object is not specified."
"State/Province","מדינה/מחוז"
"Status","מצב"
"Store Credit","חנות - קרדיט"
"Submit Comment","אשר הערה"
"Submit Credit Memo","Submit Credit Memo"
"Submit Invoice","אשר חשבונית"
"Submit Order","אשר הזמנה"
"Submit Shipment","אשר משלוח"
"Subscribe to Newsletter","הירשם לניוזלטר"
"Subscribe to Order Status","הרשם לתזכורות סטטוס הזמנה"
"Subtotal","סיכום ביניים"
"Subtotal after discount","סיכום ביניים לאחר הנחה"
"Subtotal:","סיכום ביניים"
"TAX/VAT Number","TAX/VAT Number"
"Tax","מע""מ"
"Tax :","Tax :"
"Tax Amount","סכום מע""מ"
"Tax Percent","Tax Percent"
"Telephone","טלפון"
"The item %s (SKU %s) doesn't exist in the catalog anymore","The item %s (SKU %s) doesn't exist in the catalog anymore"
"There are no printable documents related to selected orders","אין מסמכים שניתנים להדפסה עבור ההזמנות שנבחרו"
"This message will be shown in shopping cart when subtotal after discount less than minimum amount","This message will be shown in shopping cart when subtotal after discount less than minimum amount"
"This order no longer exists.","הזמנה זו לא קיימת יותר."
"Tier Pricing","תמחור מדורג"
"Title","כותרת"
"To","עבור/ל/עד"
"To Name","עד לשם"
"To:","עבור/ל/עד:"
"Total %d product(s)","Total %d product(s)"
"Total Due","סה""כ חוב"
"Total Paid","סה""כ שולם"
"Total Qty","סה""כ כמות"
"Total Refund","סה""כ החזר כספי"
"Total Refunded","סה""כ הוחזר"
"Total Shipping Charges","Total Shipping Charges"
"Total Tax","Total Tax"
"Total(ex)","Total(ex)"
"Total(inc)","Total(inc)"
"Track Order","איתור הזמנה"
"Track all shipment(s)","אתר משלוח/כל המשלוחים"
"Track all shipments","אתר אחרי כל המשלוחים"
"Track this shipment","אתר משלוח זה"
"Track your order","אתר את הזמנתך"
"Tracking","Tracking"
"Tracking Number","מספר איתור"
"Tracking Number(s)","מספר(י) איתור"
"Unhold","Unhold"
"Unhold order","Unhold order"
"Unknown State","מדינה לא ידועה"
"Unknown Status","סטאטוס לא ידוע"
"Update Changes","עדכן שינויים"
"Update Items and Qty's","Update Items and Qty's"
"Update Qty's","Update Qty's"
"Validate each address separately in multi-address checkout","Validate each address separately in multi-address checkout"
"View","הצג"
"View All","הצג הכל"
"View Order","הצג הזמנה"
"Void","ריק"
"Void invoice","Void invoice"
"Website","אתר"
"Wishlist","רשימת החלומות"
"You have placed no orders.","אין לך הזמנות עדיין"
"ZIP/Post Code","מיקוד/ת.ד."
"separate by "",""","מופרד ע""י "","""
"My Orders","My Orders"
